datetime,price,side,is_intraday,unable_to_trade_days
2019-03-13 12:25:00,735.2,1,True,37
2019-03-13 13:00:00,715.4,-1,True,37
2019-03-13 13:05:00,788.9000000000001,1,True,37
2019-03-14 09:20:00,359.20000000000005,-1,True,37
2019-03-14 10:25:00,380.04999999999995,1,True,37
2019-03-14 10:30:00,323.45,-1,True,37
2019-03-14 10:35:00,353.75,1,True,37
2019-03-14 10:40:00,333.30000000000007,-1,True,37
2019-03-14 13:05:00,331.2,1,True,37
2019-03-14 13:10:00,273.65000000000003,-1,True,37
2019-03-14 15:10:00,71.64999999999999,1,True,37
2019-03-15 09:45:00,1380.05,-1,True,37
2019-03-15 09:50:00,1418.8999999999999,1,True,37
2019-03-15 10:45:00,1397.0,-1,True,37
2019-03-15 12:00:00,1408.0,1,True,37
2019-03-15 15:05:00,1407.6,-1,True,37
2019-03-15 15:10:00,1419.4,1,True,37
2019-03-18 09:25:00,1377.4499999999998,-1,True,37
2019-03-18 10:35:00,1403.5500000000002,1,True,37
2019-03-18 12:25:00,1391.75,-1,True,37
2019-03-18 12:35:00,1465.7,1,True,37
2019-03-18 12:45:00,1450.7500000000002,-1,True,37
2019-03-18 12:55:00,1458.1000000000001,1,True,37
2019-03-18 13:05:00,1444.75,-1,True,37
2019-03-18 15:10:00,1164.2500000000002,1,True,37
2019-03-19 09:20:00,1124.5500000000002,-1,True,37
2019-03-19 15:10:00,774.0999999999999,1,True,37
2019-03-20 09:20:00,267.95,-1,True,37
2019-03-20 14:15:00,232.5,1,True,37
2019-03-20 14:35:00,192.2,-1,True,37
2019-03-20 15:10:00,120.70000000000002,1,True,37
2019-03-22 09:20:00,1497.15,-1,True,37
2019-03-22 10:30:00,1439.45,1,True,37
2019-03-22 11:10:00,1443.8500000000001,-1,True,37
2019-03-22 11:15:00,1481.25,1,True,37
2019-03-22 11:30:00,1442.35,-1,True,37
2019-03-22 14:00:00,1438.6000000000001,1,True,37
2019-03-22 14:05:00,1413.7,-1,True,37
2019-03-22 14:15:00,1438.8,1,True,37
2019-03-22 14:30:00,1433.65,-1,True,37
2019-03-22 15:00:00,1459.1000000000001,1,True,37
2019-03-25 09:20:00,1135.05,-1,True,37
2019-03-25 15:10:00,993.5499999999998,1,True,37
2019-03-26 09:20:00,800.3000000000001,-1,True,37
2019-03-26 10:05:00,812.6500000000001,1,True,37
2019-03-26 10:10:00,802.85,-1,True,37
2019-03-26 10:15:00,838.95,1,True,37
2019-03-26 11:20:00,796.3000000000001,-1,True,37
2019-03-26 13:20:00,848.8000000000001,1,True,37
2019-03-27 09:20:00,836.9499999999999,-1,True,37
2019-03-27 09:25:00,858.1,1,True,37
2019-03-27 09:30:00,820.6500000000001,-1,True,37
2019-03-27 10:50:00,885.1500000000001,1,True,37
2019-03-27 11:25:00,830.65,-1,True,37
2019-03-27 11:30:00,881.65,1,True,37
2019-03-27 12:25:00,845.7,-1,True,37
2019-03-27 12:40:00,870.8000000000001,1,True,37
2019-03-27 12:55:00,838.85,-1,True,37
2019-03-27 13:10:00,865.9499999999999,1,True,37
2019-03-27 13:20:00,844.4,-1,True,37
2019-03-27 13:45:00,938.9999999999999,1,True,37
2019-03-27 14:10:00,805.85,-1,True,37
2019-03-27 15:10:00,549.55,1,True,37
2019-03-28 09:20:00,357.9,-1,True,37
2019-03-28 09:55:00,367.29999999999995,1,True,37
2019-03-28 10:00:00,353.99999999999994,-1,True,37
2019-03-28 12:20:00,327.75000000000006,1,True,37
2019-03-28 12:25:00,306.8,-1,True,37
2019-03-28 12:35:00,332.95,1,True,37
2019-03-28 12:40:00,302.5,-1,True,37
2019-03-28 13:40:00,414.6,1,True,37
2019-03-29 09:20:00,2110.3999999999996,-1,True,37
2019-03-29 09:25:00,2131.05,1,True,37
2019-03-29 11:55:00,2163.2,-1,True,37
2019-03-29 12:10:00,2197.65,1,True,37
2019-03-29 12:15:00,2189.8,-1,True,37
2019-03-29 12:20:00,2196.0,1,True,37
2019-03-29 12:30:00,2189.2000000000003,-1,True,37
2019-03-29 13:50:00,2206.4,1,True,37
2019-03-29 14:10:00,2166.6,-1,True,37
2019-03-29 15:10:00,2036.95,1,True,37
2019-04-01 09:20:00,1756.55,-1,True,37
2019-04-01 10:35:00,1780.1000000000001,1,True,37
2019-04-01 10:40:00,1756.0500000000002,-1,True,37
2019-04-01 15:10:00,1667.1,1,True,37
2019-04-02 09:20:00,1515.05,-1,True,37
2019-04-02 09:30:00,1512.95,1,True,37
2019-04-02 09:40:00,1477.8,-1,True,37
2019-04-02 11:25:00,1501.5500000000002,1,True,37
2019-04-02 12:00:00,1478.7499999999998,-1,True,37
2019-04-02 12:20:00,1508.6499999999999,1,True,37
2019-04-02 12:25:00,1482.25,-1,True,37
2019-04-02 12:35:00,1497.3999999999999,1,True,37
2019-04-02 12:45:00,1488.0,-1,True,37
2019-04-02 15:10:00,1301.6000000000001,1,True,37
2019-04-03 09:20:00,991.4500000000002,-1,True,37
2019-04-03 11:35:00,981.5000000000001,1,True,37
2019-04-03 11:50:00,956.0000000000001,-1,True,37
2019-04-03 14:05:00,1035.9,1,True,37
2019-04-04 10:00:00,548.7499999999999,-1,True,37
2019-04-04 10:15:00,556.8,1,True,37
2019-04-04 11:40:00,535.6,-1,True,37
2019-04-04 14:30:00,384.7,1,True,37
2019-04-04 14:45:00,314.15,-1,True,37
2019-04-04 15:10:00,282.1,1,True,37
2019-04-05 09:50:00,1465.8000000000002,-1,True,37
2019-04-05 11:10:00,1459.8000000000002,1,True,37
2019-04-05 11:25:00,1444.4,-1,True,37
2019-04-05 11:35:00,1460.2499999999998,1,True,37
2019-04-05 11:55:00,1435.95,-1,True,37
2019-04-05 12:15:00,1473.7499999999998,1,True,37
2019-04-05 12:25:00,1448.8,-1,True,37
2019-04-05 14:05:00,1444.3500000000001,1,True,37
2019-04-05 14:10:00,1409.7,-1,True,37
2019-04-05 15:10:00,1253.25,1,True,37
